# schizophrenia 段階0 の中間検証用の候補リスト（1000 遺伝子）
# 作成 2026-09-18。順序は下の構成の順（段階0 は並びに依存しない）。
#   1. 正解 11: C4A, GRIN2A, GRM3, DRD2, DRD3, CHRM1, CHRM3, CHRM4, COMT, GAD1, SLC6A3
#      Open Targets（MONDO_0005090）: DRD2 0.733 / DRD3 0.672 / GRIN2A 0.588 / GRM3 0.579 / CHRM3 0.489 / CHRM4 0.459 /
#      CHRM1 0.431 / SLC6A3 0.424 / COMT 0.240 / GAD1 0.120 / C4A 0.088（文献のみ）。CHRM1・CHRM4 は xanomeline（ChEMBL: M1/M4 作動薬）
#   2. 同族デコイ 50: 正解と同じ系統（ムスカリン・ニコチン・グルタミン酸・ドパミン・セロトニン・アドレナリン受容体、
#      SLC6A、GABA-A、補体）の正式記号のうち Open Targets < 0.1 の 55 個から seed=0 で 50
#   3. Open Targets 関連スコア上位 100
#   ここまで重複を除いて 153 件。残り 847 件は genelist01_all.txt から seed=0 で無作為に補充。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名<TAB>遺伝子記号の別名
C4A		Complement C4-A	CO4,CPAMD2
RRP8		Ribosomal RNA-processing protein 8	NML,hucep-1
PARP4		Protein mono-ADP-ribosyltransferase PARP4	ADPRTL1,PARPL
LAMA3		Laminin subunit alpha-3	LAMNA
MED16		Mediator of RNA polymerase II transcription subunit 16	DRIP92,THRAP5
CRISP3		Cysteine-rich secretory protein 3	
C11orf52		Uncharacterized protein C11orf52	
KLK1		Kallikrein-1	
RNF13		E3 ubiquitin-protein ligase RNF13	RZF
FZD5		Frizzled-5	C2orf31
PDGFRL		Platelet-derived growth factor receptor-like protein	PRLTS
ALDH16A1		Aldehyde dehydrogenase family 16 member A1	
PSCA		Prostate stem cell antigen	
SCAMP5		Secretory carrier-associated membrane protein 5	
GIMAP5		GTPase IMAP family member 5	IAN4L1,IAN5,IMAP3
LOXL1		Lysyl oxidase homolog 1	LOXL
LAMB1		Laminin subunit beta-1	
HMGCS1		Hydroxymethylglutaryl-CoA synthase, cytoplasmic	HMGCS
UBE2QL1		Ubiquitin-conjugating enzyme E2Q-like protein 1	
TTC38		Tetratricopeptide repeat protein 38	
UGT2B7		UDP-glucuronosyltransferase 2B7	UGTB2B9
TRIP10		Cdc42-interacting protein 4	CIP4,STOT,STP
FBXO24		F-box only protein 24	FBX24
CBX5		Chromobox protein homolog 5	HP1A
OR52W1		Olfactory receptor 52W1	OR52W1P
MAPRE1		Microtubule-associated protein RP/EB family member 1	
PLCB2		1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2	
FANCA		Fanconi anemia group A protein	FAA,FACA,FANCH
EPN1		Epsin-1	
LIN37		Protein lin-37 homolog	MSTP064
MARCHF1		E3 ubiquitin-protein ligase MARCHF1	MARCH1,RNF171
ZNF641		Zinc finger protein 641	
GJD2		Gap junction delta-2 protein	GJA9
AQP12A		Putative aquaporin-12A	AQP12,AQPX2
ZSCAN31		Zinc finger and SCAN domain-containing protein 31	ZNF310P,ZNF323
TFPI2		Tissue factor pathway inhibitor 2	
AVPR2		Vasopressin V2 receptor	ADHR,DIR,DIR3,V2R
CAPNS1		Calpain small subunit 1	CAPN4,CAPNS
TRMT61B		tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial	
GNAS		Neuroendocrine secretory protein 55	GNAS1
FAM229B		Protein FAM229B	C6orf225
XIRP2		Xin actin-binding repeat-containing protein 2	CMYA3
LGR5		Leucine-rich repeat-containing G protein-coupled receptor 5	GPR49,GPR67
UCHL1		Ubiquitin carboxyl-terminal hydrolase isozyme L1	
PGM5		Phosphoglucomutase-like protein 5	PGMRP
IL36B		Interleukin-36 beta	IL1F8,IL1H2
AMT		Aminomethyltransferase, mitochondrial	GCST
KLRG1		Killer cell lectin-like receptor subfamily G member 1	CLEC15A,MAFA,MAFAL
FBXO9		F-box only protein 9	FBX9,VCIA1
CERS4		Ceramide synthase 4	LASS4
TNK1		Non-receptor tyrosine-protein kinase TNK1	
ADGRG6		Adhesion G protein-coupled receptor G6	DREG,GPR126,VIGR
OTOGL		Otogelin-like protein	C12orf64
ZNF512B		Zinc finger protein 512B	
SNX30		Sorting nexin-30	
ARID1B		AT-rich interactive domain-containing protein 1B	BAF250B,DAN15,OSA2
IQGAP1		Ras GTPase-activating-like protein IQGAP1	
RAB1B		Ras-related protein Rab-1B	
EXTL3		Exostosin-like 3	EXTL1L,EXTR1
RGS11		Regulator of G protein signaling 11	
OR52E2		Olfactory receptor 52E2	
THAP12		52 kDa repressor of the inhibitor of the protein kinase	DAP4,P52RIPK,PRKRIR,THAP0
ICAM5		Intercellular adhesion molecule 5	TLCN,TLN
MFF		Mitochondrial fission factor	C2orf33,AD030,AD033,GL004
DACT2		Dapper homolog 2	C6orf116,PP13671
TMEM169		Transmembrane protein 169	
ESX1		Homeobox protein ESX1	ESX1L,ESX1R
TTLL3		Tubulin monoglycylase TTLL3	
OR13C5		Olfactory receptor 13C5	
ABHD13		Protein ABHD13	C13orf6
LRRC10		Leucine-rich repeat-containing protein 10	
CCR7		C-C chemokine receptor type 7	CMKBR7,EBI1,EVI1
USP22		Ubiquitin carboxyl-terminal hydrolase 22	USP3L
CPNE4		Copine-4	
NDUFB2		NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial	
PPME1		Protein phosphatase methylesterase 1	PME1,PP2593
TERB1		Telomere repeats-binding bouquet formation protein 1	CCDC79
FRMPD1		FERM and PDZ domain-containing protein 1	FRMD2
MID2		E3 ubiquitin-protein ligase MID2	FXY2,RNF60,TRIM1
NENF		Neudesin	CIR2,SPUF
TMEM215		Transmembrane protein 215	
DHX33		ATP-dependent RNA helicase DHX33	DDX33
ZNF627		Zinc finger protein 627	
FBXW2		F-box/WD repeat-containing protein 2	FBW2,FWD2
CFAP263		Cilia- and flagella-associated protein 263	CCDC113
GPR183		G protein-coupled receptor 183	EBI2
GNAL		Guanine nucleotide-binding protein G(olf) subunit alpha	
DAP		Death-associated protein 1	DAP1
MAGI3		Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3	
ST6GAL2		Beta-galactoside alpha-2,6-sialyltransferase 2	SIAT2
PRELID2		PRELI domain-containing protein 2	
PRRX1		Paired mesoderm homeobox protein 1	PMX1
TSPAN14		Tetraspanin-14	TM4SF14
VWA5B1		von Willebrand factor A domain-containing protein 5B1	
MIER1		Mesoderm induction early response protein 1	
CALHM3		Calcium homeostasis modulator protein 3	FAM26A
MUC2		Mucin-2	SMUC
THAP2		THAP domain-containing protein 2	
CPM		Carboxypeptidase M	
LARP4		La-related protein 4	PP13296
TEPSIN		AP-4 complex accessory subunit Tepsin	C17orf56,ENTHD2
SMARCA1		SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1	SNF2L,SNF2L1
CRMP1		Dihydropyrimidinase-related protein 1	DPYSL1,ULIP3
RNPEPL1		Aminopeptidase RNPEPL1	
CLEC12A		C-type lectin domain family 12 member A	CLL1,DCAL2,KLRL1,MICL
DYNC1LI1		Cytoplasmic dynein 1 light intermediate chain 1	DNCLI1
OR4C5		Olfactory receptor 4C5	
SIX1		Homeobox protein SIX1	
UEVLD		Ubiquitin-conjugating enzyme E2 variant 3	UEV3
KRT83		Keratin, type II cuticular Hb3	KRTHB3
SLC35B3		Adenosine 3'-phospho 5'-phosphosulfate transporter 2	C6orf196,PAPST2
ZNF141		Zinc finger protein 141	D4S90
FOXL2NB		FOXL2 neighbor protein	C3orf72
LCE1C		Late cornified envelope protein 1C	LEP3
TP53TG5		TP53-target gene 5 protein	C20orf10
PHOSPHO2		Pyridoxal phosphate phosphatase PHOSPHO2	
GLYATL3		Glycine N-acyltransferase-like protein 3	C6orf140
TAAR2		Trace amine-associated receptor 2	GPR58
RHOBTB1		Rho-related BTB domain-containing protein 1	
PNKP		Bifunctional polynucleotide phosphatase/kinase	
TAPBPL		Tapasin-related protein	
TAS2R19		Taste receptor type 2 member 19	TAS2R23,TAS2R48
MED20		Mediator of RNA polymerase II transcription subunit 20	TRFP
PTPN23		Tyrosine-protein phosphatase non-receptor type 23	
RPL4		Large ribosomal subunit protein uL4	RPL1
CTRB1		Chymotrypsinogen B	CTRB
FAM76B		Protein FAM76B	
OR2D2		Olfactory receptor 2D2	OR2D1
MYOZ3		Myozenin-3	FRP3
OR10A4		Olfactory receptor 10A4	OR10A4P
P3H3		Prolyl 3-hydroxylase 3	LEPREL2
CEP112		Centrosomal protein of 112 kDa	CCDC46
BRF1		Transcription factor IIIB 90 kDa subunit	BRF,GTF3B,TAF3B2,TAF3C
ARFGAP3		ADP-ribosylation factor GTPase-activating protein 3	ARFGAP1
DCP1B		mRNA-decapping enzyme 1B	
TIGD5		Tigger transposable element-derived protein 5	
KLRF2		Killer cell lectin-like receptor subfamily F member 2	
CLEC4C		C-type lectin domain family 4 member C	BDCA2,CLECSF11,CLECSF7,DLEC
CD300LG		CMRF35-like molecule 9	CLM9,TREM4
HMCN2		Hemicentin-2	
ERG28		Ergosterol biosynthetic protein 28 homolog	C14orf1,AD-011,x0006
CHTOP		Chromatin target of PRMT1 protein	C1orf77,FOP,HT031,PP7704
CROCC2		Ciliary rootlet coiled-coil protein 2	
UNC5A		Netrin receptor UNC5A	UNC5H1
SMAD5		SMAD family member 5	MADH5
TEKT1		Tektin-1	
KRTAP17-1		Keratin-associated protein 17-1	KAP17.1,KRTAP16.1
KLC4		Kinesin light chain 4	KNSL8
HSD3B7		3 beta-hydroxysteroid dehydrogenase type 7	
SUMF1		Formylglycine-generating enzyme	PSEC0152
ABI1		Abl interactor 1	SSH3BP1
CASP4		Caspase-4	ICH2
LANCL3		LanC-like protein 3	
NFILZ		NFIL3 like protein	
MCTS2		Malignant T-cell-amplified sequence 2	
UBN1		Ubinuclein-1	
ATG10		Ubiquitin-like-conjugating enzyme ATG10	APG10L,PP12616
DRG2		Developmentally-regulated GTP-binding protein 2	
KPRP		Keratinocyte proline-rich protein	C1orf45
TLE3		Transducin-like enhancer protein 3	
CNTF		Ciliary neurotrophic factor	
FAM47B		Protein FAM47B	
GNG8		Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8	GNG9,GNGT9
NRTN		Neurturin	
ARL17A		Putative ADP-ribosylation factor-like protein 17A	ARF1P2,ARL17P1
ANKRD28		Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	
TMEM102		Transmembrane protein 102	
SCAI		Protein SCAI	C9orf126
CTNS		Cystinosin	
HBM		Hemoglobin subunit mu	HBAP2
GOLGA6L24		Golgin subfamily A member 6-like protein 24	
PRB1		Basic salivary proline-rich protein 1	
TRAPPC9		Trafficking protein particle complex subunit 9	NIBP,T1
XAB2		Pre-mRNA-splicing factor SYF1	HCNP,SYF1,PP3898
CDCA4		Cell division cycle-associated protein 4	HEPP
GTF2A2		Transcription initiation factor IIA subunit 2	TF2A2
GSTA1		Glutathione S-transferase A1	
RPS27		Small ribosomal subunit protein eS27	MPS1
