# schizophrenia 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0005090) の関連遺伝子 500 件と、
# 承認薬の標的 39 件を必ず含む（重複を除いて 504 件）。
# 残り 4496 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
TAPT1	transmembrane anterior posterior transformation 1	Transmembrane anterior posterior transformation protein 1 homolog
TARBP2	TARBP2 subunit of RISC loading complex	RISC-loading complex subunit TARBP2
TARM1	T cell-interacting, activating receptor on myeloid cells 1	T-cell-interacting, activating receptor on myeloid cells protein 1
TARS3	threonyl-tRNA synthetase 3	Threonine--tRNA ligase 2, cytoplasmic
TAS1R2	taste 1 receptor member 2	Taste receptor type 1 member 2
TAS1R3	taste 1 receptor member 3	Taste receptor type 1 member 3
TAS2R14	taste 2 receptor member 14	Taste receptor type 2 member 14
TAS2R30	taste 2 receptor member 30	Taste receptor type 2 member 30
TAS2R36	taste 2 receptor member 36	Putative taste receptor type 2 member 36
TAS2R40	taste 2 receptor member 40	Taste receptor type 2 member 40
TAS2R42	taste 2 receptor member 42	Taste receptor type 2 member 42
TAS2R50	taste 2 receptor member 50	Taste receptor type 2 member 50
TAS2R9	taste 2 receptor member 9	Taste receptor type 2 member 9
TASOR2	transcription activation suppressor family member 2	Protein TASOR 2
TASP1	taspase 1	Threonine aspartase 1
TATDN1	TatD DNase domain containing 1	Deoxyribonuclease TATDN1
TATDN3	TatD DNase domain containing 3	Deoxyribonuclease TATDN3
TBC1D10A	TBC1 domain family member 10A	TBC1 domain family member 10A
TBC1D10C	TBC1 domain family member 10C	Carabin
TBC1D12	TBC1 domain family member 12	TBC1 domain family member 12
TBC1D15	TBC1 domain family member 15	TBC1 domain family member 15
TBC1D17	TBC1 domain family member 17	TBC1 domain family member 17
TBC1D22A	TBC1 domain family member 22A	TBC1 domain family member 22A
TBC1D3C	TBC1 domain family member 3C	TBC1 domain family member 3C
TBC1D3F	TBC1 domain family member 3F	TBC1 domain family member 3F
TBC1D4	TBC1 domain family member 4	TBC1 domain family member 4
TBC1D5	TBC1 domain family member 5	TBC1 domain family member 5
TBC1D7	TBC1 domain family member 7	TBC1 domain family member 7
TBC1D8B	TBC1 domain family member 8B	TBC1 domain family member 8B
TBL1XR1	TBL1X/Y related 1	F-box-like/WD repeat-containing protein TBL1XR1
TBL3	transducin beta like 3	Transducin beta-like protein 3
TBRG1	transforming growth factor beta regulator 1	Transforming growth factor beta regulator 1
TBX20	T-box transcription factor 20	T-box transcription factor TBX20
TC2N	tandem C2 domains, nuclear	Tandem C2 domains nuclear protein
TCAF1	TRPM8 channel associated factor 1	TRPM8 channel-associated factor 1
TCAIM	T cell activation inhibitor, mitochondrial	T-cell activation inhibitor, mitochondrial
TCEAL1	transcription elongation factor A like 1	Transcription elongation factor A protein-like 1
TCEAL8	transcription elongation factor A like 8	Transcription elongation factor A protein-like 8
TCERG1	transcription elongation regulator 1	Transcription elongation regulator 1
TCF15	transcription factor 15	Transcription factor 15
TCF21	transcription factor 21	Transcription factor 21
TCF4	transcription factor 4	Transcription factor 4
TCF7L2	transcription factor 7 like 2	Transcription factor 7-like 2
TCTA	T cell leukemia translocation altered	T-cell leukemia translocation-altered gene protein
TCTN2	tectonic family member 2	Tectonic-2
TCTN3	tectonic family member 3	Tectonic-3
TDP1	tyrosyl-DNA phosphodiesterase 1	Tyrosyl-DNA phosphodiesterase 1
TDRD3	tudor domain containing 3	Tudor domain-containing protein 3
TEAD1	TEA domain transcription factor 1	Transcriptional enhancer factor TEF-1
TEAD2	TEA domain transcription factor 2	Transcriptional enhancer factor TEF-4
TECPR2	tectonin beta-propeller repeat containing 2	Tectonin beta-propeller repeat-containing protein 2
TECRL	trans-2,3-enoyl-CoA reductase like	Trans-2,3-enoyl-CoA reductase-like
TEFM	transcription elongation factor, mitochondrial	Transcription elongation factor, mitochondrial
TEK	TEK receptor tyrosine kinase	Angiopoietin-1 receptor
TEKT2	tektin 2	Tektin-2
TEKT3	tektin 3	Tektin-3
TEKTIP1	tektin bundle interacting protein 1	Tektin bundle-interacting protein 1
TELO2	telomere maintenance 2	Telomere length regulation protein TEL2 homolog
TENM2	teneurin transmembrane protein 2	Teneurin-2
TENM3	teneurin transmembrane protein 3	Teneurin-3
TENT2	terminal nucleotidyltransferase 2	Poly(A) RNA polymerase GLD2
TEPSIN	TEPSIN adaptor related protein complex 4 accessory protein	AP-4 complex accessory subunit Tepsin
TERB2	telomere repeat binding bouquet formation protein 2	Telomere repeats-binding bouquet formation protein 2
TERF2IP	TERF2 interacting protein	Telomeric repeat-binding factor 2-interacting protein 1
TES	testin LIM domain protein	Testin
TESK1	testis associated actin remodelling kinase 1	Dual specificity testis-specific protein kinase 1
TESK2	testis associated actin remodelling kinase 2	Dual specificity testis-specific protein kinase 2
TESMIN	testis expressed metallothionein like protein	Tesmin
TET2	tet methylcytosine dioxygenase 2	Methylcytosine dioxygenase TET2
TEX13A	testis expressed 13A	Testis-expressed protein 13A
TEX13C	TEX13 family member C	Testis-expressed protein 13C
TEX15	testis expressed 15, meiosis and synapsis associated	Testis-expressed protein 15
TEX29	testis expressed 29	Testis-expressed protein 29
TEX35	testis expressed 35	Testis-expressed protein 35
TEX36	testis expressed 36	Testis-expressed protein 36
TEX48	testis expressed 48	Testis-expressed protein 48
TEX51	testis expressed 51	Testis-expressed protein 51
TFAP2B	transcription factor AP-2 beta	Transcription factor AP-2-beta
TFE3	transcription factor binding to IGHM enhancer 3	Transcription factor E3
TFEB	transcription factor EB	Transcription factor EB
TGDS	TDP-glucose 4,6-dehydratase	UDP-D-glucose 4,6-dehydratase
TGFB3	transforming growth factor beta 3	Transforming growth factor beta-3 proprotein [Cleaved into: Latency-associated peptide
TGM3	transglutaminase 3	Protein-glutamine gamma-glutamyltransferase E
THAP1	THAP domain containing 1	THAP domain-containing protein 1
THAP6	THAP domain containing 6	THAP domain-containing protein 6
THBS2	thrombospondin 2	Thrombospondin-2
THEM4	thioesterase superfamily member 4	Acyl-coenzyme A thioesterase THEM4
THEM6	thioesterase superfamily member 6	Protein THEM6
THNSL2	threonine synthase like 2	Threonine synthase-like 2
THOC2	THO complex subunit 2	THO complex subunit 2
THOC6	THO complex subunit 6	THO complex subunit 6
THOC7	THO complex subunit 7	THO complex subunit 7
THSD7A	thrombospondin type 1 domain containing 7A	Thrombospondin type-1 domain-containing protein 7A [Cleaved into: Thrombospondin type-1 do
THSD8	thrombospondin type 1 domain containing 8	Thrombospondin type-1 domain-containing protein 8
TICAM2	TIR domain containing adaptor molecule 2	TIR domain-containing adapter molecule 2
TIGD1	tigger transposable element derived 1	Tigger transposable element-derived protein 1
TIGD4	tigger transposable element derived 4	Tigger transposable element-derived protein 4
TIGD6	tigger transposable element derived 6	Tigger transposable element-derived protein 6
TIGD7	tigger transposable element derived 7	Tigger transposable element-derived protein 7
TIMCC	TIM double twin CX3C motif chaperone	TIM double twin CX3C motif protein
TIMM13	translocase of inner mitochondrial membrane 13	Mitochondrial import inner membrane translocase subunit Tim13
TIMM17A	translocase of inner mitochondrial membrane 17A	Mitochondrial import inner membrane translocase subunit Tim17-A
TINAGL1	tubulointerstitial nephritis antigen like 1	Tubulointerstitial nephritis antigen-like
TINF2	TERF1 interacting nuclear factor 2	TERF1-interacting nuclear factor 2
TIPARP	TCDD inducible poly(ADP-ribose) polymerase	Protein mono-ADP-ribosyltransferase TIPARP
TIPIN	TIMELESS interacting protein	TIMELESS-interacting protein
TIRAP	TIR domain containing adaptor protein	Toll/interleukin-1 receptor domain-containing adapter protein
TJAP1	tight junction associated protein 1	Tight junction-associated protein 1
TLCD3A	TLC domain containing 3A	TLC domain-containing protein 3A
TLCD4	TLC domain containing 4	TLC domain-containing protein 4
TLE2	TLE family member 2, transcriptional corepressor	Transducin-like enhancer protein 2
TLE3	TLE family member 3, transcriptional corepressor	Transducin-like enhancer protein 3
TLE6	TLE family member 6, subcortical maternal complex member	Transducin-like enhancer protein 6
TLE7	TLE family member 7	Transducin-like enhancer protein 7
TLK2	tousled like kinase 2	Serine/threonine-protein kinase tousled-like 2
TLN1	talin 1	Talin-1
TLN2	talin 2	Talin-2
TLNRD1	talin rod domain containing 1	Talin rod domain-containing protein 1
TLR1	toll like receptor 1	Toll-like receptor 1
TLR3	toll like receptor 3	Toll-like receptor 3
TLR7	toll like receptor 7	Toll-like receptor 7
TM2D3	TM2 domain containing 3	TM2 domain-containing protein 3
TM4SF18	transmembrane 4 L six family member 18	Transmembrane 4 L6 family member 18
TM4SF19	transmembrane 4 L six family member 19	Transmembrane 4 L6 family member 19
TM7SF3	transmembrane 7 superfamily member 3	Transmembrane 7 superfamily member 3
TM9SF1	transmembrane 9 superfamily member 1	Transmembrane 9 superfamily member 1
TMA7B	translation machinery associated 7 homolog B	Translation machinery-associated protein 7B
TMBIM6	transmembrane BAX inhibitor motif containing 6	Bax inhibitor 1
TMC2	transmembrane channel like 2	Transmembrane channel-like protein 2
TMC6	transmembrane channel like 6	Transmembrane channel-like protein 6
TMC8	transmembrane channel like 8	Transmembrane channel-like protein 8
TMCC1	transmembrane and coiled-coil domain family 1	Transmembrane and coiled-coil domains protein 1
TMCC3	transmembrane and coiled-coil domain family 3	Transmembrane and coiled-coil domain protein 3
TMCO5A	transmembrane and coiled-coil domains 5A	Transmembrane and coiled-coil domain-containing protein 5A
TMCO6	transmembrane and coiled-coil domains 6	Transmembrane and coiled-coil domain-containing protein 6
TMED9	transmembrane p24 trafficking protein 9	Transmembrane emp24 domain-containing protein 9
TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2	Tomoregulin-2
TMEM100	transmembrane protein 100	Transmembrane protein 100
TMEM102	transmembrane protein 102	Transmembrane protein 102
TMEM109	transmembrane protein 109	Voltage-gated monoatomic cation channel TMEM109
TMEM115	transmembrane protein 115	Transmembrane protein 115
TMEM117	transmembrane protein 117	Transmembrane protein 117
TMEM121	transmembrane protein 121	Transmembrane protein 121
TMEM123	transmembrane protein 123	Porimin
TMEM127	transmembrane protein 127	Transmembrane protein 127
TMEM131	transmembrane protein 131	Transmembrane protein 131
TMEM132B	transmembrane protein 132B	Transmembrane protein 132B
TMEM132D	transmembrane protein 132D	Transmembrane protein 132D
TMEM135	transmembrane protein 135	Transmembrane protein 135
TMEM140	transmembrane protein 140	Transmembrane protein 140
TMEM141	transmembrane protein 141	Transmembrane protein 141
TMEM144	transmembrane protein 144	Transmembrane protein 144
TMEM147	transmembrane protein 147	BOS complex subunit TMEM147
TMEM14A	transmembrane protein 14A	Transmembrane protein 14A
TMEM150C	transmembrane protein 150C	Transmembrane protein 150C
TMEM160	transmembrane protein 160	Transmembrane protein 160
TMEM161B	transmembrane protein 161B	Transmembrane protein 161B
TMEM169	transmembrane protein 169	Transmembrane protein 169
TMEM170A	transmembrane protein 170A	Transmembrane protein 170A
TMEM176B	transmembrane protein 176B	Transmembrane protein 176B
TMEM178A	transmembrane protein 178A	Transmembrane protein 178A
TMEM178B	transmembrane protein 178B	Transmembrane protein 178B
TMEM18	transmembrane protein 18	Transmembrane protein 18
TMEM182	transmembrane protein 182	Transmembrane protein 182
TMEM184B	transmembrane protein 184B	Transmembrane protein 184B
TMEM190	transmembrane protein 190	Transmembrane protein 190
TMEM200A	transmembrane protein 200A	Transmembrane protein 200A
TMEM200B	transmembrane protein 200B	Transmembrane protein 200B
TMEM217B	transmembrane protein 217B	Transmembrane protein 217B
TMEM218	transmembrane protein 218	Transmembrane protein 218
TMEM220	transmembrane protein 220	Transmembrane protein 220
TMEM221	transmembrane protein 221	Transmembrane protein 221
TMEM222	transmembrane protein 222	Transmembrane protein 222
TMEM225B	transmembrane protein 225B	Transmembrane protein 225B
TMEM233	transmembrane protein 233	Transmembrane protein 233
TMEM237	transmembrane protein 237	Transmembrane protein 237
TMEM239	transmembrane protein 239	Transmembrane protein 239
TMEM248	transmembrane protein 248	Transmembrane protein 248
TMEM252	transmembrane protein 252	Transmembrane protein 252
TMEM255B	transmembrane protein 255B	Transmembrane protein 255B
TMEM258	transmembrane protein 258	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TMEM258
TMEM266	transmembrane protein 266	Transmembrane protein 266
TMEM271	transmembrane protein 271	Transmembrane protein 271
TMEM35A	transmembrane protein 35A	Novel acetylcholine receptor chaperone
TMEM37	transmembrane protein 37	Voltage-dependent calcium channel gamma-like subunit
TMEM45A	transmembrane protein 45A	Transmembrane protein 45A
TMEM47	transmembrane protein 47	Transmembrane protein 47
TMEM53	transmembrane protein 53	Transmembrane protein 53
TMEM72	transmembrane protein 72	Transmembrane protein 72
TMEM74B	transmembrane protein 74B	Transmembrane protein 74B
TMEM79	transmembrane protein 79	Transmembrane protein 79
TMEM86A	transmembrane protein 86A	Lysoplasmalogenase TMEM86A
TMEM87A	transmembrane protein 87A	Golgi-pH regulating cation channel
TMEM9	transmembrane protein 9	Proton-transporting V-type ATPase complex assembly regulator TMEM9
TMIE	transmembrane inner ear	Transmembrane inner ear expressed protein
TMIGD1	transmembrane and immunoglobulin domain containing 1	Transmembrane and immunoglobulin domain-containing protein 1
TMPRSS11A	transmembrane serine protease 11A	Transmembrane protease serine 11A
TMPRSS13	transmembrane serine protease 13	Transmembrane protease serine 13
TMPRSS6	transmembrane serine protease 6	Transmembrane protease serine 6
TMSB15B	thymosin beta 15B	Thymosin beta-15B
TMTC1	transmembrane O-mannosyltransferase targeting cadherins 1	Protein O-mannosyl-transferase TMTC1
TMTC4	transmembrane O-mannosyltransferase targeting cadherins 4	Protein O-mannosyl-transferase TMTC4
TNC	tenascin C	Tenascin
TNF	tumor necrosis factor	Tumor necrosis factor
TNFAIP3	TNF alpha induced protein 3	Tumor necrosis factor alpha-induced protein 3
TNFAIP8	TNF alpha induced protein 8	Tumor necrosis factor alpha-induced protein 8
TNFRSF10B	TNF receptor superfamily member 10b	Tumor necrosis factor receptor superfamily member 10B
TNFRSF1B	TNF receptor superfamily member 1B	Tumor necrosis factor receptor superfamily member 1B
TNFRSF4	TNF receptor superfamily member 4	Tumor necrosis factor receptor superfamily member 4
TNFRSF8	TNF receptor superfamily member 8	Tumor necrosis factor receptor superfamily member 8
TNFRSF9	TNF receptor superfamily member 9	Tumor necrosis factor receptor superfamily member 9
TNFSF12	TNF superfamily member 12	Tumor necrosis factor ligand superfamily member 12
TNK1	tyrosine kinase non receptor 1	Non-receptor tyrosine-protein kinase TNK1
TNN	tenascin N	Tenascin-N
TNNI1	troponin I1, slow skeletal type	Troponin I, slow skeletal muscle
TNNI3	troponin I3, cardiac type	Troponin I, cardiac muscle
TNNT2	troponin T2, cardiac type	Troponin T, cardiac muscle
TNP2	transition protein 2	Nuclear transition protein 2
TNPO2	transportin 2	Transportin-2
TNRC18	trinucleotide repeat containing 18	Trinucleotide repeat-containing gene 18 protein
TNS1	tensin 1	Tensin-1
TNS2	tensin 2	Tensin-2
TOB1	transducer of ERBB2, 1	Protein Tob1
TOB2	transducer of ERBB2, 2	Protein Tob2
TOE1	target of EGR1, exonuclease	Target of EGR1 protein 1
TOGARAM2	TOG array regulator of axonemal microtubules 2	TOG array regulator of axonemal microtubules protein 2
TOLLIP	toll interacting protein	Toll-interacting protein
TOM1L1	target of myb1 like 1 membrane trafficking protein	TOM1-like protein 1
TOMM22	translocase of outer mitochondrial membrane 22	Mitochondrial import receptor subunit TOM22 homolog
TOMM40L	translocase of outer mitochondrial membrane 40 like	Mitochondrial import receptor subunit TOM40B
TONSL	tonsoku like, DNA repair protein	Tonsoku-like protein
TOP2B	DNA topoisomerase II beta	DNA topoisomerase 2-beta
TOP3A	DNA topoisomerase III alpha	DNA topoisomerase 3-alpha
TOR1AIP1	torsin 1A interacting protein 1	Torsin-1A-interacting protein 1
TOR2A	torsin family 2 member A	Prosalusin
TOX3	TOX high mobility group box family member 3	TOX high mobility group box family member 3
TP53BP1	tumor protein p53 binding protein 1	TP53-binding protein 1
TP53BP2	tumor protein p53 binding protein 2	Apoptosis-stimulating of p53 protein 2
TP53TG3B	TP53 target 3B	
TP73	tumor protein p73	Tumor protein p73
TPD52L3	TPD52 like 3	Tumor protein D55
TPGS1	tubulin polyglutamylase complex subunit 1	Tubulin polyglutamylase complex subunit 1
TPH2	tryptophan hydroxylase 2	Tryptophan 5-hydroxylase 2
TPI1	triosephosphate isomerase 1	Triosephosphate isomerase
TPK1	thiamin pyrophosphokinase 1	Thiamine pyrophosphokinase 1
TPM1	tropomyosin 1	Tropomyosin alpha-1 chain
TPM4	tropomyosin 4	Tropomyosin alpha-4 chain
TPR	translocated promoter region, nuclear basket protein	Nucleoprotein TPR
TPRA1	transmembrane protein adipocyte associated 1	Transmembrane protein adipocyte-associated 1
TPRG1	tumor protein p63 regulated 1	Tumor protein p63-regulated gene 1 protein
TPRX1	tetrapeptide repeat homeobox 1	Tetra-peptide repeat homeobox protein 1
TPSAB1	tryptase alpha/beta 1	Tryptase alpha/beta-1
TPSB2	tryptase beta 2	Tryptase beta-2
TPST2	tyrosylprotein sulfotransferase 2	Protein-tyrosine sulfotransferase 2
TPTE	transmembrane phosphatase with tensin homology	Putative tyrosine-protein phosphatase TPTE
TPX2	TPX2 microtubule nucleation factor	Targeting protein for Xklp2
TRABD	TraB domain containing	TraB domain-containing protein
TRAF2	TNF receptor associated factor 2	TNF receptor-associated factor 2
TRAF6	TNF receptor associated factor 6	TNF receptor-associated factor 6
TRAFD1	TRAF-type zinc finger domain containing 1	TRAF-type zinc finger domain-containing protein 1
TRAK2	trafficking kinesin protein 2	Trafficking kinesin-binding protein 2
TRAM1	translocation associated membrane protein 1	Translocating chain-associated membrane protein 1
TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1	TPR and ankyrin repeat-containing protein 1
TRAP1	TNF receptor associated protein 1	Heat shock protein 75 kDa, mitochondrial
TRAPPC1	trafficking protein particle complex subunit 1	Trafficking protein particle complex subunit 1
TRAPPC13	trafficking protein particle complex subunit 13	Trafficking protein particle complex subunit 13
TRAPPC3	trafficking protein particle complex subunit 3	Trafficking protein particle complex subunit 3
TRAPPC5	trafficking protein particle complex subunit 5	Trafficking protein particle complex subunit 5
TRAPPC6A	trafficking protein particle complex subunit 6A	Trafficking protein particle complex subunit 6A
TRB	T cell receptor beta locus	M1-specific T cell receptor beta chain
TREH	trehalase	Trehalase
TREML1	triggering receptor expressed on myeloid cells like 1	Trem-like transcript 1 protein
TRIAP1	TP53 regulated inhibitor of apoptosis 1	TP53-regulated inhibitor of apoptosis 1
TRIM13	tripartite motif containing 13	E3 ubiquitin-protein ligase TRIM13
TRIM14	tripartite motif containing 14	Tripartite motif-containing protein 14
TRIM27	tripartite motif containing 27	Zinc finger protein RFP
TRIM29	tripartite motif containing 29	Tripartite motif-containing protein 29
TRIM34	tripartite motif containing 34	E3 ubiquitin-protein ligase TRIM34
TRIM40	tripartite motif containing 40	E3 ubiquitin ligase TRIM40
TRIM43	tripartite motif containing 43	Tripartite motif-containing protein 43
TRIM43B	tripartite motif containing 43B	Tripartite motif-containing protein 43B
TRIM46	tripartite motif containing 46	Tripartite motif-containing protein 46
TRIM49	tripartite motif containing 49	Tripartite motif-containing protein 49
TRIM49C	tripartite motif containing 49C	Tripartite motif-containing protein 49C
TRIM5	tripartite motif containing 5	Tripartite motif-containing protein 5
TRIM50	tripartite motif containing 50	E3 ubiquitin-protein ligase TRIM50
TRIM54	tripartite motif containing 54	Tripartite motif-containing protein 54
TRIM55	tripartite motif containing 55	Tripartite motif-containing protein 55
TRIM56	tripartite motif containing 56	E3 ubiquitin-protein ligase TRIM56
TRIM61	tripartite motif containing 61	Putative tripartite motif-containing protein 61
TRIM64	tripartite motif containing 64	Tripartite motif-containing protein 64
TRIM65	tripartite motif containing 65	E3 ubiquitin-protein ligase TRIM65
TRIM67	tripartite motif containing 67	Tripartite motif-containing protein 67
TRIM69	tripartite motif containing 69	E3 ubiquitin-protein ligase TRIM69
TRIM7	tripartite motif containing 7	E3 ubiquitin-protein ligase TRIM7
TRIM73	tripartite motif containing 73	Tripartite motif-containing protein 73
TRIM9	tripartite motif containing 9	E3 ubiquitin-protein ligase TRIM9
TRIP6	thyroid hormone receptor interactor 6	Thyroid receptor-interacting protein 6
TRIQK	triple QxxK/R motif containing	Triple QxxK/R motif-containing protein
TRIT1	tRNA isopentenyltransferase 1	tRNA dimethylallyltransferase
TRMT13	tRNA methyltransferase 13	tRNA:m(4)X modification enzyme TRM13 homolog
TRMT2A	tRNA methyltransferase 2A	tRNA
TRMT2B	tRNA methyltransferase 2B	tRNA
TRMT9B	tRNA methyltransferase 9B (putative)	Probable tRNA methyltransferase 9B
TRMU	tRNA mitochondrial 2-thiouridylase	Mitochondrial tRNA-specific 2-thiouridylase 1
TRO	trophinin	Trophinin
TRPC3	transient receptor potential cation channel subfamily C member 3	Short transient receptor potential channel 3
TRPC4	transient receptor potential cation channel subfamily C member 4	Short transient receptor potential channel 4
TRPC5OS	TRPC5 opposite strand	Putative uncharacterized protein TRPC5OS
TRPM1	transient receptor potential cation channel subfamily M member 1	Transient receptor potential cation channel subfamily M member 1
TRPM3	transient receptor potential cation channel subfamily M member 3	Transient receptor potential cation channel subfamily M member 3
TRPM4	transient receptor potential cation channel subfamily M member 4	Transient receptor potential cation channel subfamily M member 4
TRPM8	transient receptor potential cation channel subfamily M member 8	Transient receptor potential cation channel subfamily M member 8
TRPS1	transcriptional repressor GATA binding 1	Zinc finger transcription factor Trps1
TRPV2	transient receptor potential cation channel subfamily V member 2	Transient receptor potential cation channel subfamily V member 2
TRPV4	transient receptor potential cation channel subfamily V member 4	Transient receptor potential cation channel subfamily V member 4
TSEN15	tRNA splicing endonuclease subunit 15	tRNA-splicing endonuclease subunit Sen15
TSG101	tumor susceptibility 101	Tumor susceptibility gene 101 protein
TSHR	thyroid stimulating hormone receptor	Thyrotropin receptor
TSHZ2	teashirt zinc finger homeobox 2	Teashirt homolog 2
TSLIG1	tRNA splicing ligase complex subunit 1	
TSNARE1	t-SNARE domain containing 1	t-SNARE domain-containing protein 1
TSNAXIP1	translin associated factor X interacting protein 1	Translin-associated factor X-interacting protein 1
TSPAN10	tetraspanin 10	Tetraspanin-10
TSPAN17	tetraspanin 17	Tetraspanin-17
TSPAN18	tetraspanin 18	Tetraspanin-18
TSPAN3	tetraspanin 3	Tetraspanin-3
TSPAN33	tetraspanin 33	Tetraspanin-33
TSPAN5	tetraspanin 5	Tetraspanin-5
TSPY10	testis specific protein Y-linked 10	Testis-specific Y-encoded protein 10
TSR1	TSR1 ribosome maturation factor	Pre-rRNA-processing protein TSR1 homolog
TSSK3	testis specific serine kinase 3	Testis-specific serine/threonine-protein kinase 3
TSSK6	testis specific serine kinase 6	Testis-specific serine/threonine-protein kinase 6
TST	thiosulfate sulfurtransferase	Thiosulfate sulfurtransferase
TTBK1	tau tubulin kinase 1	Tau-tubulin kinase 1
TTC1	tetratricopeptide repeat domain 1	Tetratricopeptide repeat protein 1
TTC13	tetratricopeptide repeat domain 13	Tetratricopeptide repeat protein 13
TTC17	tetratricopeptide repeat domain 17	Tetratricopeptide repeat protein 17
TTC21B	tetratricopeptide repeat domain 21B	Tetratricopeptide repeat protein 21B
TTC23L	tetratricopeptide repeat domain 23 like	Tetratricopeptide repeat protein 23-like
TTC28	tetratricopeptide repeat domain 28	Tetratricopeptide repeat protein 28
TTC31	tetratricopeptide repeat domain 31	Tetratricopeptide repeat protein 31
TTC5	tetratricopeptide repeat domain 5	Tetratricopeptide repeat protein 5
TTC6	tetratricopeptide repeat domain 6	Tetratricopeptide repeat protein 6
TTC7A	tetratricopeptide repeat domain 7A	Tetratricopeptide repeat protein 7A
TTC7B	tetratricopeptide repeat domain 7B	Tetratricopeptide repeat protein 7B
TTK	TTK protein kinase	Dual specificity protein kinase TTK
TTLL1	TTL family tubulin polyglutamylase complex subunit L1	Polyglutamylase complex subunit TTLL1
TTLL12	tubulin tyrosine ligase like 12	Tubulin--tyrosine ligase-like protein 12
TTLL5	tubulin tyrosine ligase like 5	Tubulin polyglutamylase TTLL5
TTLL9	tubulin tyrosine ligase like 9	Probable tubulin polyglutamylase TTLL9
TTPA	alpha tocopherol transfer protein	Alpha-tocopherol transfer protein
TTPAL	alpha tocopherol transfer protein like	Alpha-tocopherol transfer protein-like
TTYH2	tweety family member 2	Protein tweety homolog 2
TTYH3	tweety family member 3	Protein tweety homolog 3
TUBAL3	tubulin alpha like 3	Tubulin alpha chain-like 3
TUBB2A	tubulin beta 2A class IIa	Tubulin beta-2A chain
TUBB6	tubulin beta 6 class V	Tubulin beta-6 chain
TUBB8	tubulin beta 8 class VIII	Tubulin beta-8 chain
TUBB8B	tubulin beta 8B	Tubulin beta 8B
TUBG2	tubulin gamma 2	Tubulin gamma-2 chain
TUBGCP2	tubulin gamma complex component 2	Gamma-tubulin complex component 2
TUBGCP4	tubulin gamma complex component 4	Gamma-tubulin complex component 4
TULP1	TUB like protein 1	Tubby-related protein 1
TULP4	TUB like protein 4	Tubby-related protein 4
TUT4	terminal uridylyl transferase 4	Terminal uridylyltransferase 4
TWF2	twinfilin actin binding protein 2	Twinfilin-2
TXK	TXK tyrosine kinase	Tyrosine-protein kinase TXK
TXLNG	taxilin gamma	Gamma-taxilin
TXN	thioredoxin	Thioredoxin
TXNDC16	thioredoxin domain containing 16	Thioredoxin domain-containing protein 16
TXNDC5	thioredoxin domain containing 5	Thioredoxin domain-containing protein 5
TXNIP	thioredoxin interacting protein	Thioredoxin-interacting protein
TXNL1	thioredoxin like 1	Thioredoxin-like protein 1
TXNRD1	thioredoxin reductase 1	Thioredoxin reductase 1, cytoplasmic
TYR	tyrosinase	Tyrosinase
TYRO3	TYRO3 protein tyrosine kinase	Tyrosine-protein kinase receptor TYRO3
TYROBP	transmembrane immune signaling adaptor TYROBP	TYRO protein tyrosine kinase-binding protein
TYW1	tRNA-yW synthesizing protein 1 homolog	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1
TYW1B	tRNA-yW synthesizing protein 1 homolog B	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1B
TYW2	tRNA wybutosine-synthesizing protein 2	tRNA wybutosine-synthesizing protein 2 homolog
TYW5	tRNA-yW synthesizing protein 5	tRNA wybutosine-synthesizing protein 5
UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	Ubiquitin-ribosomal protein eL40 fusion protein
UBA6	ubiquitin like modifier activating enzyme 6	Ubiquitin-like modifier-activating enzyme 6
UBA7	ubiquitin like modifier activating enzyme 7	Ubiquitin-like modifier-activating enzyme 7
UBE2F	ubiquitin conjugating enzyme E2 F (putative)	NEDD8-conjugating enzyme UBE2F
UBE2H	ubiquitin conjugating enzyme E2 H	Ubiquitin-conjugating enzyme E2 H
UBE2J2	ubiquitin conjugating enzyme E2 J2	Ubiquitin-conjugating enzyme E2 J2
UBE2K	ubiquitin conjugating enzyme E2 K	Ubiquitin-conjugating enzyme E2 K
UBE2Q2	ubiquitin conjugating enzyme E2 Q2	Ubiquitin-conjugating enzyme E2 Q2
UBE2QL1	ubiquitin conjugating enzyme E2 QL1	Ubiquitin-conjugating enzyme E2Q-like protein 1
UBE2R2	ubiquitin conjugating enzyme E2 R2	Ubiquitin-conjugating enzyme E2 R2
UBE2T	ubiquitin conjugating enzyme E2 T	Ubiquitin-conjugating enzyme E2 T
UBE3B	ubiquitin protein ligase E3B	Ubiquitin-protein ligase E3B
UBE4B	ubiquitination factor E4B	Ubiquitin conjugation factor E4 B
UBL4A	ubiquitin like 4A	Ubiquitin-like protein 4A
