# cystinuria 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0009067) の関連遺伝子 397 件と、
# 承認薬の標的 8 件を必ず含む（重複を除いて 397 件）。
# 残り 4603 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
SLC16A8	solute carrier family 16 member 8	Monocarboxylate transporter 3
SLC17A3	solute carrier family 17 member 3	Sodium-dependent phosphate transport protein 4
SLC17A9	solute carrier family 17 member 9	Voltage-gated purine nucleotide uniporter SLC17A9
SLC19A1	solute carrier family 19 member 1	Reduced folate transporter
SLC1A1	solute carrier family 1 member 1	Excitatory amino acid transporter 3
SLC1A2	solute carrier family 1 member 2	Excitatory amino acid transporter 2
SLC1A3	solute carrier family 1 member 3	Excitatory amino acid transporter 1
SLC1A5	solute carrier family 1 member 5	Neutral amino acid transporter B(0)
SLC1A6	solute carrier family 1 member 6	Excitatory amino acid transporter 4
SLC20A2	solute carrier family 20 member 2	Sodium-dependent phosphate transporter 2
SLC22A12	solute carrier family 22 member 12	Solute carrier family 22 member 12
SLC22A16	solute carrier family 22 member 16	Solute carrier family 22 member 16
SLC22A17	solute carrier family 22 member 17	Solute carrier family 22 member 17
SLC22A2	solute carrier family 22 member 2	Solute carrier family 22 member 2
SLC22A25	solute carrier family 22 member 25	Solute carrier family 22 member 25
SLC22A4	solute carrier family 22 member 4	Solute carrier family 22 member 4
SLC22A5	solute carrier family 22 member 5	Organic cation/carnitine transporter 2
SLC22A6	solute carrier family 22 member 6	Solute carrier family 22 member 6
SLC22A7	solute carrier family 22 member 7	Solute carrier family 22 member 7
SLC22A8	solute carrier family 22 member 8	Organic anion transporter 3
SLC23A1	solute carrier family 23 member 1	Solute carrier family 23 member 1
SLC23A3	solute carrier family 23 member 3	Solute carrier family 23 member 3
SLC24A2	solute carrier family 24 member 2	Sodium/potassium/calcium exchanger 2
SLC25A17	solute carrier family 25 member 17	Peroxisomal membrane protein PMP34
SLC25A23	solute carrier family 25 member 23	Mitochondrial adenyl nucleotide antiporter SLC25A23
SLC25A29	solute carrier family 25 member 29	Mitochondrial basic amino acids transporter
SLC25A4	solute carrier family 25 member 4	ADP/ATP translocase 1
SLC25A41	solute carrier family 25 member 41	Mitochondrial carrier protein SCaMC-3L
SLC25A44	solute carrier family 25 member 44	Solute carrier family 25 member 44
SLC25A52	solute carrier family 25 member 52	Mitochondrial nicotinamide adenine dinucleotide transporter SLC25A52
SLC26A1	solute carrier family 26 member 1	Sulfate anion transporter 1
SLC26A4	solute carrier family 26 member 4	Pendrin
SLC26A5	solute carrier family 26 member 5	Prestin
SLC26A6	solute carrier family 26 member 6	Solute carrier family 26 member 6
SLC26A8	solute carrier family 26 member 8	Testis anion transporter 1
SLC27A2	solute carrier family 27 member 2	Long-chain fatty acid transport protein 2
SLC28A1	solute carrier family 28 member 1	Sodium/nucleoside cotransporter 1
SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	Equilibrative nucleoside transporter 1
SLC29A2	solute carrier family 29 member 2	Equilibrative nucleoside transporter 2
SLC29A3	solute carrier family 29 member 3	Equilibrative nucleoside transporter 3
SLC2A10	solute carrier family 2 member 10	Solute carrier family 2, facilitated glucose transporter member 10
SLC2A14	solute carrier family 2 member 14	Solute carrier family 2, facilitated glucose transporter member 14
SLC2A3	solute carrier family 2 member 3	Solute carrier family 2, facilitated glucose transporter member 3
SLC2A4RG	SLC2A4 regulator	SLC2A4 regulator
SLC2A9	solute carrier family 2 member 9	Solute carrier family 2, facilitated glucose transporter member 9
SLC30A1	solute carrier family 30 member 1	Proton-coupled zinc antiporter SLC30A1
SLC30A3	solute carrier family 30 member 3	Probable proton-coupled zinc antiporter SLC30A3
SLC30A5	solute carrier family 30 member 5	Proton-coupled zinc antiporter SLC30A5
SLC30A7	solute carrier family 30 member 7	Zinc transporter 7
SLC31A1	solute carrier family 31 member 1	High affinity copper uptake protein 1
SLC33A2	solute carrier family 33 member 2	Solute carrier family 33 member 2
SLC34A1	solute carrier family 34 member 1	Sodium-dependent phosphate transport protein 2A
SLC34A2	solute carrier family 34 member 2	Sodium-dependent phosphate transport protein 2B
SLC34A3	solute carrier family 34 member 3	Sodium-dependent phosphate transport protein 2C
SLC35A4	solute carrier family 35 member A4	Probable UDP-sugar transporter protein SLC35A4
SLC35B4	solute carrier family 35 member B4	Nucleotide sugar transporter SLC35B4
SLC35F2	solute carrier family 35 member F2	Queuine/queuosine transporter SLC35F2
SLC35F5	solute carrier family 35 member F5	Solute carrier family 35 member F5
SLC35G6	solute carrier family 35 member G6	Solute carrier family 35 member G6
SLC36A1	solute carrier family 36 member 1	Proton-coupled amino acid transporter 1
SLC37A1	solute carrier family 37 member 1	Glucose-6-phosphate exchanger SLC37A1
SLC37A2	solute carrier family 37 member 2	Glucose-6-phosphate exchanger SLC37A2
SLC38A12	solute carrier family 38 member 12	Putative sodium-coupled neutral amino acid transporter 12
SLC38A3	solute carrier family 38 member 3	Sodium-coupled neutral amino acid transporter 3
SLC38A7	solute carrier family 38 member 7	Sodium-coupled neutral amino acid transporter 7
SLC38A9	solute carrier family 38 member 9	Neutral amino acid transporter 9
SLC39A10	solute carrier family 39 member 10	Zinc transporter ZIP10
SLC39A11	solute carrier family 39 member 11	Zinc transporter ZIP11
SLC39A8	solute carrier family 39 member 8	Metal cation symporter ZIP8
SLC3A1	solute carrier family 3 member 1	Amino acid transporter heavy chain SLC3A1
SLC3A2	solute carrier family 3 member 2	Amino acid transporter heavy chain SLC3A2
SLC45A4	solute carrier family 45 member 4	Polyamine-transporter SLC45A4
SLC46A1	solute carrier family 46 member 1	Proton-coupled folate transporter
SLC4A1	solute carrier family 4 member 1 (Diego blood group)	Band 3 anion transport protein
SLC4A11	solute carrier family 4 member 11	Solute carrier family 4 member 11
SLC4A4	solute carrier family 4 member 4	Electrogenic sodium bicarbonate cotransporter 1
SLC4A5	solute carrier family 4 member 5	Electrogenic sodium bicarbonate cotransporter 4
SLC4A7	solute carrier family 4 member 7	Sodium bicarbonate cotransporter 3
SLC4A8	solute carrier family 4 member 8	Electroneutral sodium bicarbonate exchanger 1
SLC4A9	solute carrier family 4 member 9	Anion exchange protein 4
SLC50A1	solute carrier family 50 member 1	Sugar transporter SWEET1
SLC52A2	solute carrier family 52 member 2	Solute carrier family 52, riboflavin transporter, member 2
SLC52A3	solute carrier family 52 member 3	Solute carrier family 52, riboflavin transporter, member 3
SLC5A1	solute carrier family 5 member 1	Sodium/glucose cotransporter 1
SLC5A10	solute carrier family 5 member 10	Sodium/mannose cotransporter SLC5A10
SLC5A2	solute carrier family 5 member 2	Sodium/glucose cotransporter 2
SLC5A6	solute carrier family 5 member 6	Sodium-dependent multivitamin transporter
SLC5A9	solute carrier family 5 member 9	Sodium/glucose cotransporter 4
SLC60A1	solute carrier family 60 member 1	Solute carrier family 60 member 1
SLC66A3	solute carrier family 66 member 3	Solute carrier family 66 member 3
SLC67A1	solute carrier family 67 member 1	Solute carrier family 67 member A1
SLC68A1	solute carrier family 68 member 1	Solute carrier family 68 member 1
SLC6A13	solute carrier family 6 member 13	Sodium- and chloride-dependent GABA transporter 2
SLC6A14	solute carrier family 6 member 14	Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+)
SLC6A16	solute carrier family 6 member 16	Orphan sodium- and chloride-dependent neurotransmitter transporter NTT5
SLC6A18	solute carrier family 6 member 18	Inactive sodium-dependent neutral amino acid transporter B(0)AT3
SLC6A19	solute carrier family 6 member 19	Sodium-dependent neutral amino acid transporter B(0)AT1
SLC6A8	solute carrier family 6 member 8	Sodium- and chloride-dependent creatine transporter 1
SLC6A9	solute carrier family 6 member 9	Sodium- and chloride-dependent glycine transporter 1
SLC71A1	solute carrier family 71 member 1	Solute carrier family 71 member 1
SLC7A10	solute carrier family 7 member 10	Asc-type amino acid transporter 1
SLC7A11	solute carrier family 7 member 11	Cystine/glutamate transporter
SLC7A13	solute carrier family 7 member 13	Solute carrier family 7 member 13
SLC7A2	solute carrier family 7 member 2	Cationic amino acid transporter 2
SLC7A5	solute carrier family 7 member 5	Large neutral amino acids transporter small subunit 1
SLC7A7	solute carrier family 7 member 7	Y+L amino acid transporter 1
SLC7A9	solute carrier family 7 member 9	b(0,+)-type amino acid transporter 1
SLC8A1	solute carrier family 8 member A1	Sodium/calcium exchanger 1
SLC8A2	solute carrier family 8 member A2	Sodium/calcium exchanger 2
SLC9A2	solute carrier family 9 member A2	Sodium/hydrogen exchanger 2
SLC9A3	solute carrier family 9 member A3	Sodium/hydrogen exchanger 3
SLC9A5	solute carrier family 9 member A5	Sodium/hydrogen exchanger 5
SLC9B1	solute carrier family 9 member B1	Sodium/hydrogen exchanger 9B1
SLCO1B1	solute carrier organic anion transporter family member 1B1	Solute carrier organic anion transporter family member 1B1
SLCO1B7	solute carrier organic anion transporter family member 1B7 (putative)	Putative solute carrier organic anion transporter family member 1B7
SLCO1C1	solute carrier organic anion transporter family member 1C1	Solute carrier organic anion transporter family member 1C1
SLCO3A1	solute carrier organic anion transporter family member 3A1	Solute carrier organic anion transporter family member 3A1
SLCO6A1	solute carrier organic anion transporter family member 6A1	Solute carrier organic anion transporter family member 6A1
SLF1	SMC5/6 complex localization factor 1	SMC5-SMC6 complex localization factor protein 1
SLIRP	SRA stem-loop interacting RNA binding protein	SRA stem-loop-interacting RNA-binding protein, mitochondrial
SLITRK2	SLIT and NTRK like family member 2	SLIT and NTRK-like protein 2
SLITRK4	SLIT and NTRK like family member 4	SLIT and NTRK-like protein 4
SLN	sarcolipin	Sarcolipin
SLU7	spliceosome associated SLU7	Pre-mRNA-splicing factor SLU7
SMAD3	SMAD family member 3	SMAD family member 3
SMARCA1	SNF2 related chromatin remodeling ATPase 1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A membe
SMARCA2	SWI/SNF related BAF chromatin remodeling complex subunit ATPase 2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A membe
SMARCAD1	SNF2 related chromatin remodeling ATPase with DExD box 1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A conta
SMARCD2	SWI/SNF related BAF chromatin remodeling complex subunit D2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D membe
SMC3	structural maintenance of chromosomes 3	Structural maintenance of chromosomes protein 3
SMCO3	single-pass membrane protein with coiled-coil domains 3	Single-pass membrane and coiled-coil domain-containing protein 3
SMG1	SMG1 nonsense mediated mRNA decay associated PI3K related kinase	Serine/threonine-protein kinase SMG1
SMG7	SMG7 nonsense mediated mRNA decay factor	Nonsense-mediated mRNA decay factor SMG7
SMG8	SMG8 nonsense mediated mRNA decay factor	Nonsense-mediated mRNA decay factor SMG8
SMIM10L2B	small integral membrane protein 10 like 2B	Small integral membrane protein 10-like protein 2B
SMIM17	small integral membrane protein 17	Small integral membrane protein 17
SMIM2	small integral membrane protein 2	Small integral membrane protein 2
SMIM31	small integral membrane protein 31	Small integral membrane protein 31
SMIM35	small integral membrane protein 35	Small integral membrane protein 35
SMIM36	small integral membrane protein 36	Small integral membrane protein 36
SMIM42	small integral membrane protein 42	Small integral membrane protein 42
SMIM5	small integral membrane protein 5	Small integral membrane protein 5
SMIM7	small integral membrane protein 7	Small integral membrane protein 7
SMKR1	small lysine rich protein 1	Small lysine-rich protein 1
SMN2	survival of motor neuron 2, centromeric	
SMOC2	SPARC related modular calcium binding 2	SPARC-related modular calcium-binding protein 2
SMOX	spermine oxidase	Spermine oxidase
SMR3B	submaxillary gland androgen regulated protein 3B	Submaxillary gland androgen-regulated protein 3B
SMUG1	single-strand-selective monofunctional uracil-DNA glycosylase 1	Single-strand selective monofunctional uracil DNA glycosylase
SNAPC1	small nuclear RNA activating complex polypeptide 1	snRNA-activating protein complex subunit 1
SNED1	sushi, nidogen and EGF like domains 1	Sushi, nidogen and EGF-like domain-containing protein 1
SNRNP40	small nuclear ribonucleoprotein U5 subunit 40	U5 small nuclear ribonucleoprotein 40 kDa protein
SNRNP70	small nuclear ribonucleoprotein U1 subunit 70	U1 small nuclear ribonucleoprotein 70 kDa
SNTN	sentan, cilia apical structure protein	Sentan
SNW1	SNW domain containing 1	SNW domain-containing protein 1
SNX1	sorting nexin 1	Sorting nexin-1
SNX11	sorting nexin 11	Sorting nexin-11
SNX3	sorting nexin 3	Sorting nexin-3
SNX32	sorting nexin 32	Sorting nexin-32
SNX4	sorting nexin 4	Sorting nexin-4
SNX8	sorting nexin 8	Sorting nexin-8
SOCS2	suppressor of cytokine signaling 2	Suppressor of cytokine signaling 2
SOCS7	suppressor of cytokine signaling 7	Suppressor of cytokine signaling 7
SOD3	superoxide dismutase 3	Extracellular superoxide dismutase [Cu-Zn]
SOHLH2	spermatogenesis and oogenesis specific basic helix-loop-helix 2	Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 2
SORCS1	sortilin related VPS10 domain containing receptor 1	VPS10 domain-containing receptor SorCS1
SOWAHB	sosondowah ankyrin repeat domain family member B	Ankyrin repeat domain-containing protein SOWAHB
SOWAHC	sosondowah ankyrin repeat domain family member C	Ankyrin repeat domain-containing protein SOWAHC
SOX12	SRY-box transcription factor 12	Transcription factor SOX-12
SOX14	SRY-box transcription factor 14	Transcription factor SOX-14
SOX17	SRY-box transcription factor 17	Transcription factor SOX-17
SOX2	SRY-box transcription factor 2	Transcription factor SOX-2
SP4	Sp4 transcription factor	Transcription factor Sp4
SP5	Sp5 transcription factor	Transcription factor Sp5
SP8	Sp8 transcription factor	Transcription factor Sp8
SPA17	sperm autoantigenic protein 17	Sperm surface protein Sp17
SPAAR	small regulatory polypeptide of amino acid response	Small regulatory polypeptide of amino acid response
SPACA3	sperm acrosome associated 3	Sperm acrosome membrane-associated protein 3
SPACA5B	sperm acrosome associated 5B	
SPACA6	sperm acrosome associated 6	Sperm acrosome membrane-associated protein 6
SPAG1	sperm associated antigen 1	Sperm-associated antigen 1
SPAG9	sperm associated antigen 9	C-Jun-amino-terminal kinase-interacting protein 4
SPAM1	sperm adhesion molecule 1	Hyaluronidase PH-20
SPANXN1	SPANX family member N1	Sperm protein associated with the nucleus on the X chromosome N1
SPARC	secreted protein acidic and cysteine rich	SPARC
SPATA1	spermatogenesis associated 1	Spermatogenesis-associated protein 1
SPATA13	spermatogenesis associated 13	Spermatogenesis-associated protein 13
SPATA22	spermatogenesis associated 22	Spermatogenesis-associated protein 22
SPATA24	spermatogenesis associated 24	Spermatogenesis-associated protein 24
SPATA31A5	SPATA31 subfamily A member 5	Spermatogenesis-associated protein 31A5
SPATA31C1	SPATA31 subfamily C member 1	Spermatogenesis-associated protein 31C1
SPATA31C2	SPATA31 subfamily C member 2	Spermatogenesis-associated protein 31C2
SPATA31D4	SPATA31 subfamily D member 4	Spermatogenesis-associated protein 31D4
SPATA6L	spermatogenesis associated 6 like	Spermatogenesis associated 6-like protein
SPATA7	spermatogenesis associated 7	Spermatogenesis-associated protein 7
SPATA9	spermatogenesis associated 9	Spermatogenesis-associated protein 9
SPATC1L	spermatogenesis and centriole associated 1 like	Speriolin-like protein
SPDYA	speedy/RINGO cell cycle regulator family member A	Speedy protein A
SPDYE1	speedy/RINGO cell cycle regulator family member E1	Speedy protein E1
SPDYE12	speedy/RINGO cell cycle regulator family member E12	Speedy protein E12
SPDYE13	speedy/RINGO cell cycle regulator family member E13	Speedy protein E13
SPDYE15	speedy/RINGO cell cycle regulator family member E15	Speedy protein E15
SPDYE17	speedy/RINGO cell cycle regulator family member E17	Speedy protein E17
SPDYE2	speedy/RINGO cell cycle regulator family member E2	Speedy protein E2
SPDYE21	speedy/RINGO cell cycle regulator family member E21	Speedy protein E21
SPDYE4	speedy/RINGO cell cycle regulator family member E4	Speedy protein E4
SPDYE5	speedy/RINGO cell cycle regulator family member E5	Speedy protein E5
SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like	Cytospin-A
SPIN3	spindlin family member 3	Spindlin-3
SPIN4	spindlin family member 4	Spindlin-4
SPINDOC	spindlin interactor and repressor of chromatin binding	Spindlin interactor and repressor of chromatin-binding protein
SPINK1	serine peptidase inhibitor Kazal type 1	Serine protease inhibitor Kazal-type 1
SPINK6	serine peptidase inhibitor Kazal type 6	Serine protease inhibitor Kazal-type 6
SPINK7	serine peptidase inhibitor Kazal type 7	Serine protease inhibitor Kazal-type 7
SPINT1	serine peptidase inhibitor, Kunitz type 1	Kunitz-type protease inhibitor 1
SPINT4	serine peptidase inhibitor, Kunitz type 4	Kunitz-type protease inhibitor 4
SPIRE1	spire type actin nucleation factor 1	Protein spire homolog 1
SPIRE2	spire type actin nucleation factor 2	Protein spire homolog 2
SPMAP2L	sperm microtubule associated protein 2 like	Sperm microtubule associated protein 2-like
SPMIP6	sperm microtubule inner protein 6	Sperm microtubule inner protein 6
SPNS2	SPNS lysolipid transporter 2, sphingosine-1-phosphate	Sphingosine-1-phosphate transporter SPNS2
SPO11	SPO11 initiator of meiotic double strand breaks	Meiotic recombination protein SPO11
SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2	Testican-2
SPON2	spondin 2	Spondin-2
SPP1	secreted phosphoprotein 1	Osteopontin
SPPL2C	signal peptide peptidase like 2C	Signal peptide peptidase-like 2C
SPRED3	sprouty related EVH1 domain containing 3	Sprouty-related, EVH1 domain-containing protein 3
SPRR1B	small proline rich protein 1B	Cornifin-B
SPRR4	small proline rich protein 4	Small proline-rich protein 4
SPRR5	small proline rich protein 5	Small proline-rich protein 5
SPRY2	sprouty RTK signaling antagonist 2	Protein sprouty homolog 2
SPSB4	splA/ryanodine receptor domain and SOCS box containing 4	SPRY domain-containing SOCS box protein 4
SPTBN1	spectrin beta, non-erythrocytic 1	Spectrin beta chain, non-erythrocytic 1
SPTLC1	serine palmitoyltransferase long chain base subunit 1	Serine palmitoyltransferase 1
SPTLC3	serine palmitoyltransferase long chain base subunit 3	Serine palmitoyltransferase 3
SRARP	steroid receptor associated and regulated protein	Steroid receptor-associated and regulated protein
SRC	SRC proto-oncogene, non-receptor tyrosine kinase	Proto-oncogene tyrosine-protein kinase Src
SRD5A2	steroid 5 alpha-reductase 2	3-oxo-5-alpha-steroid 4-dehydrogenase 2
SREBF2	sterol regulatory element binding transcription factor 2	Sterol regulatory element-binding protein 2
SRF	serum response factor	Serum response factor
SRGAP1	SLIT-ROBO Rho GTPase activating protein 1	SLIT-ROBO Rho GTPase-activating protein 1
SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	SLIT-ROBO Rho GTPase-activating protein 2
SRGAP2B	SLIT-ROBO Rho GTPase activating protein 2B	SLIT-ROBO Rho GTPase-activating protein 2B
SRGN	serglycin	Serglycin
SRL	sarcalumenin	Sarcalumenin
SRP54	signal recognition particle 54	Signal recognition particle subunit SRP54
SRPRB	SRP receptor subunit beta	Signal recognition particle receptor subunit beta
SRR	serine racemase	Serine racemase
SRRM2	serine/arginine repetitive matrix 2	Serine/arginine repetitive matrix protein 2
SRSF11	serine and arginine rich splicing factor 11	Serine/arginine-rich splicing factor 11
SRSF2	serine and arginine rich splicing factor 2	Serine/arginine-rich splicing factor 2
SRSF6	serine and arginine rich splicing factor 6	Serine/arginine-rich splicing factor 6
SSB	small RNA binding exonuclease protection factor La	Lupus La protein
SSC4D	scavenger receptor cysteine rich family member with 4 domains	Scavenger receptor cysteine-rich domain-containing group B protein
SSH3	slingshot protein phosphatase 3	Protein phosphatase Slingshot homolog 3
SSU72L1	SSU72 like 1	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 1
SSU72L5	SSU72 like 5	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 5
SSX7	SSX family member 7	Protein SSX7
ST13	ST13 Hsp70 interacting protein	Hsc70-interacting protein
ST14	ST14 transmembrane serine protease matriptase	Suppressor of tumorigenicity 14 protein
ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1
ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4
ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	Lactosylceramide alpha-2,3-sialyltransferase
ST6GALNAC2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5
ST7	suppression of tumorigenicity 7	Suppressor of tumorigenicity 7 protein
ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase
ST8SIA2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	Alpha-2,8-sialyltransferase 8B
STAB1	stabilin 1	Stabilin-1
STAB2	stabilin 2	Stabilin-2
STAC	SH3 and cysteine rich domain	SH3 and cysteine-rich domain-containing protein
STAM2	signal transducing adaptor molecule 2	Signal transducing adapter molecule 2
STAP2	signal transducing adaptor family member 2	Signal-transducing adaptor protein 2
STARD13	StAR related lipid transfer domain containing 13	StAR-related lipid transfer protein 13
STARD3	StAR related lipid transfer domain containing 3	StAR-related lipid transfer protein 3
STARD4	StAR related lipid transfer domain containing 4	StAR-related lipid transfer protein 4
STAT4	signal transducer and activator of transcription 4	Signal transducer and activator of transcription 4
STAT5A	signal transducer and activator of transcription 5A	Signal transducer and activator of transcription 5A
STC1	stanniocalcin 1	Stanniocalcin-1
STEAP1B	STEAP family member 1B	STEAP family member 1B
STEAP3	STEAP3 metalloreductase	Metalloreductase STEAP3
STH	saitohin	Saitohin
STIM2	stromal interaction molecule 2	Stromal interaction molecule 2
STK17A	serine/threonine kinase 17a	Serine/threonine-protein kinase 17A
STK3	serine/threonine kinase 3	Serine/threonine-protein kinase 3
STK32A	serine/threonine kinase 32A	Serine/threonine-protein kinase 32A
STK35	serine/threonine kinase 35	Serine/threonine-protein kinase 35
STK38	serine/threonine kinase 38	Serine/threonine-protein kinase 38
STK39	serine/threonine kinase 39	STE20/SPS1-related proline-alanine-rich protein kinase
STK40	serine/threonine kinase 40	Serine/threonine-protein kinase 40
STMN1	stathmin 1	Stathmin
STMN2	stathmin 2	Stathmin-2
STOM	stomatin	Stomatin
STOML1	stomatin like 1	Stomatin-like protein 1
STOX2	storkhead box 2	Storkhead-box protein 2
STRA6	signaling receptor and transporter of retinol STRA6	Receptor for retinol uptake STRA6
STRA8	stimulated by retinoic acid 8	Stimulated by retinoic acid gene 8 protein homolog
STRIP2	striatin interacting protein 2	Striatin-interacting protein 2
STRN3	striatin 3	Striatin-3
STUB1	STIP1 homology and U-box containing protein 1	E3 ubiquitin-protein ligase CHIP
STX10	syntaxin 10	Syntaxin-10
STX16	syntaxin 16	Syntaxin-16
STX4	syntaxin 4	Syntaxin-4
STX6	syntaxin 6	Syntaxin-6
SUCNR1	succinate receptor 1	Succinate receptor 1
SUGCT	succinyl-CoA:glutarate-CoA transferase	Succinyl-CoA:glutarate CoA-transferase
SUGP2	SURP and G-patch domain containing 2	SURP and G-patch domain-containing protein 2
SUGT1	SGT1 assembly cochaperone of MIS12 kinetochore complex	Protein SGT1 homolog
SULT2A1	sulfotransferase family 2A member 1	Sulfotransferase 2A1
SULT6B1	sulfotransferase family 6B member 1	Sulfotransferase 6B1
SUMF1	sulfatase modifying factor 1	Formylglycine-generating enzyme
SUMO1	small ubiquitin like modifier 1	Small ubiquitin-related modifier 1
SUMO4	small ubiquitin like modifier 4	Small ubiquitin-related modifier 4
SUN2	Sad1 and UNC84 domain containing 2	SUN domain-containing protein 2
SUN3	Sad1 and UNC84 domain containing 3	SUN domain-containing protein 3
SUPT20H	SPT20 homolog, SAGA complex component	Transcription factor SPT20 homolog
SUPT20HL1	SUPT20H like 1	Transcription factor SPT20 homolog-like 1
SUPT20HL2	SUPT20H like 2	Transcription factor SPT20 homolog-like 2
SURF2	surfeit 2	Surfeit locus protein 2
SUSD2	sushi domain containing 2	Sushi domain-containing protein 2
SUSD5	sushi domain containing 5	Sushi domain-containing protein 5
SUZ12	SUZ12 polycomb repressive complex 2 subunit	Polycomb protein SUZ12
SV2A	synaptic vesicle glycoprotein 2A	Synaptic vesicle glycoprotein 2A
SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1
SVIL	supervillin	Supervillin
SWAP70	switching B cell complex subunit SWAP70	Switch-associated protein 70
SWSAP1	SWIM-type zinc finger 7 associated protein 1	ATPase SWSAP1
SYCE3	synaptonemal complex central element protein 3	Synaptonemal complex central element protein 3
SYCP3	synaptonemal complex protein 3	Synaptonemal complex protein 3
SYDE2	synapse defective Rho GTPase homolog 2	Rho GTPase-activating protein SYDE2
SYF2	SYF2 pre-mRNA splicing factor	Pre-mRNA-splicing factor SYF2
SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein	Heterogeneous nuclear ribonucleoprotein Q
SYNE1	spectrin repeat containing nuclear envelope protein 1	Nesprin-1
SYNE2	spectrin repeat containing nuclear envelope protein 2	Nesprin-2
SYNJ1	synaptojanin 1	Polyphosphatidylinositol phosphatase SYNJ1
SYPL2	synaptophysin like 2	Synaptophysin-like protein 2
SYS1	SYS1 golgi trafficking protein	Protein SYS1 homolog
SYT3	synaptotagmin 3	Synaptotagmin-3
SYT6	synaptotagmin 6	Synaptotagmin-6
SYT8	synaptotagmin 8	Synaptotagmin-8
SYTL2	synaptotagmin like 2	Synaptotagmin-like protein 2
SYVN1	synoviolin 1	E3 ubiquitin-protein ligase synoviolin
SZT2	SZT2 subunit of KICSTOR complex	KICSTOR complex protein SZT2
TAAR5	trace amine associated receptor 5	Trace amine-associated receptor 5
TAAR6	trace amine associated receptor 6	Trace amine-associated receptor 6
TAAR8	trace amine associated receptor 8	Trace amine-associated receptor 8
TAB1	TGF-beta activated kinase 1 (MAP3K7) binding protein 1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1
TAC4	tachykinin precursor 4	Tachykinin-4
TACC3	transforming acidic coiled-coil containing protein 3	Transforming acidic coiled-coil-containing protein 3
TACR1	tachykinin receptor 1	Substance-P receptor
TACR3	tachykinin receptor 3	Neuromedin-K receptor
TAF11L14	TATA-box binding protein associated factor 11 like 14	TATA-box-binding protein-associated factor 11-like protein 14
TAF11L4	TATA-box binding protein associated factor 11 like 4	TATA-box-binding protein-associated factor 11-like protein 4
TAF11L7	TATA-box binding protein associated factor 11 like 7	TATA-box-binding protein-associated factor 11-like protein 7
TAF12	TATA-box binding protein associated factor 12	Transcription initiation factor TFIID subunit 12
TAF1D	TATA-box binding protein associated factor, RNA polymerase I subunit D	TATA box-binding protein-associated factor RNA polymerase I subunit D
TAF4	TATA-box binding protein associated factor 4	Transcription initiation factor TFIID subunit 4
TAF9	TATA-box binding protein associated factor 9	Transcription initiation factor TFIID subunit 9
TAF9B	TATA-box binding protein associated factor 9b	Transcription initiation factor TFIID subunit 9B
TAFA4	TAFA chemokine like family member 4	Chemokine-like protein TAFA-4
TAFA5	TAFA chemokine like family member 5	Chemokine-like protein TAFA-5
TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor	T-cell acute lymphocytic leukemia protein 1
TALDO1	transaldolase 1	Transaldolase
TANGO2	transport and golgi organization 2 homolog	Transport and Golgi organization protein 2 homolog
TAOK2	TAO kinase 2	Serine/threonine-protein kinase TAO2
